,0,1,2,3,4,5
4265003255,528226175,528226148,4265001284,,,
528226148,4265003255,28809632,529603758,,,
4110066946,446215621,1704228171,1996946043,,,
1704228171,4110066946,537529044,2679292535,,,
537529044,1704228171,1704228176,1979255242,,,
1704228176,537529044,3456193823,2694629976,,,
3456193823,1704228176,1704228283,3336504180,,,
1704228283,3456193823,2679314266,1704228286,,,
2679314266,1704228283,279189649,2679314267,,,
279189649,2679314266,2984038177,1704228392,,,
28814446,2978833877,28814449,3994729002,534664299,,
2978833877,28814446,518835749,28814451,,,
518835749,2978833877,28814451,1024952818,,,
28814451,518835749,517825865,950326610,2978833877,,
529916107,282539330,529916119,529603740,,,
528701125,534690693,533904857,528701161,534690694,,
534690693,528701125,534690692,534690694,529913125,,
506698743,1928650603,528729770,506698791,1928650610,1928650605,2937875649
1928650603,506698743,1928650605,528714120,,,
528713628,2346924467,506309989,528714120,,,
2346924467,528713628,532254878,2346924472,,,
532254878,2346924467,2497272302,2497272302,,,
2497272302,532254878,515768291,532254878,,,
518820587,950326725,1154927299,28814435,,,
950326725,518820587,4761534065,,,,
528720887,528720913,1699476805,506309984,,,
528720913,528720887,515768188,1417199023,,,
515768188,528720913,506309984,506309989,,,
506309989,528713628,515768188,506309948,,,
528720933,1232654769,506309970,506309958,,,
1232654769,528720933,409717378,1232654739,,,
506309970,528720933,506309958,506309974,,,
506309958,528720933,506309948,506309970,,,
529005140,1798034593,1026320804,1026320884,538379878,,
1798034593,529005140,1798034580,2334403262,,,
1798034580,1798034593,2189498906,2334403261,,,
2189498906,1798034580,529005150,2189498900,,,
529005150,2189498906,1184791867,512546981,,,
1026320804,529005140,518926972,1026320884,,,
518926972,1026320804,1026320673,1026320942,,,
1026320673,518926972,2886604669,1026320854,,,
2886604669,1026320673,2898813781,2886604673,,,
2898813781,2886604669,1728311437,,,,
1184791867,512546980,529005150,3067162917,,,
469479995,4031618820,506985932,3206610400,,,
4031618820,469479995,1178987869,4031618819,,,
1178987869,4031618820,529392566,1178988022,,,
529392566,1178987869,4031618833,529392567,,,
529400661,1193254629,1193255016,1193321393,1193252548,,
1193254629,529400661,1193253538,1193252548,,,
1193253538,1193254629,1193321790,1193253006,,,
1193321790,1193253538,529400719,,,,
3653477949,28818164,2210927860,,,,
529603748,2978833988,28818195,2385046832,2978833981,,
2978833988,529603748,2125946817,,,,
529893920,4113505978,486098058,528691333,,,
4113505978,529893920,529893925,4113505979,,,
529893925,4113505978,4113505986,,,,
446215642,28818196,2978106829,2978107439,508583177,,
529897016,486098060,529897013,529897017,,,
486098060,529897016,533903848,529897017,,,
533903848,486098060,2085745540,,,,
529897017,486098060,2978106768,529897016,,,
528226182,2224715854,2427753110,528226175,,,
2224715854,528226182,508501276,2224715857,,,
508583177,508501276,446215642,,,,
529901436,2978107439,529385883,529897013,,,
2978107439,529901436,446215642,,,,
529385883,529901436,539550105,529888776,,,
534681981,529913120,3653478011,,,,
529913120,534681981,529913121,529913125,529603739,,
529913121,529913120,529913108,529603740,529913123,,
529913108,529913121,529913123,,,,
